"ipo_quarter","total_proceeds","number_of_deals","spx_quarter","close_point","net_change","percentage_change"
"2015-10-01 00:00:00-04",2026.41,12,"2015-10-01 00:00:00-04",2043.94,15.8,0.0077
"2016-01-01 00:00:00-05",1108.77,11,"2016-01-01 00:00:00-05",2059.74,15.8,0.0077
"2016-04-01 00:00:00-04",6986.31,35,"2016-04-01 00:00:00-04",2098.86,39.12,0.019
"2016-07-01 00:00:00-04",5820.98,35,"2016-07-01 00:00:00-04",2168.27,69.41,0.0331
"2016-10-01 00:00:00-04",4657.64,28,"2016-10-01 00:00:00-04",2238.83,70.56,0.0325
"2017-01-01 00:00:00-05",12932.35,31,"2017-01-01 00:00:00-05",2362.72,123.89,0.0553
"2017-04-01 00:00:00-04",13287.44,56,"2017-04-01 00:00:00-04",2423.41,60.69,0.0257
"2017-07-01 00:00:00-04",5203.24,33,"2017-07-01 00:00:00-04",2519.36,95.95,0.0396
"2017-10-01 00:00:00-04",9711.97,54,"2017-10-01 00:00:00-04",2673.61,154.25,0.0612
"2018-01-01 00:00:00-05",11790.33,43,"2018-01-01 00:00:00-05",2640.87,-32.74,-0.0122
"2018-04-01 00:00:00-04",16622.52,61,"2018-04-01 00:00:00-04",2718.37,77.5,0.0293
"2018-07-01 00:00:00-04",8692.91,46,"2018-07-01 00:00:00-04",2913.98,195.61,0.072
"2018-10-01 00:00:00-04",6568.08,36,"2018-10-01 00:00:00-04",2506.85,-407.13,-0.1397
"2019-01-01 00:00:00-05",9080.82,33,"2019-01-01 00:00:00-05",2834.40,327.55,0.1307
"2019-04-01 00:00:00-04",29851.44,62,"2019-04-01 00:00:00-04",2941.76,107.36,0.0379
"2019-07-01 00:00:00-04",12731.46,42,"2019-07-01 00:00:00-04",2976.74,34.98,0.0119
"2019-10-01 00:00:00-04",6926.65,44,"2019-10-01 00:00:00-04",3230.78,254.04,0.0853
"2020-01-01 00:00:00-05",11604.84,28,"2020-01-01 00:00:00-05",2584.59,-646.19,-0.2
"2020-04-01 00:00:00-04",22418.80,52,"2020-04-01 00:00:00-04",3100.29,515.7,0.1995
"2020-07-01 00:00:00-04",55627.91,135,"2020-07-01 00:00:00-04",3363.00,262.71,0.0847
"2020-10-01 00:00:00-04",55818.14,170,"2020-10-01 00:00:00-04",3756.07,393.07,0.1169
"2021-01-01 00:00:00-05",120566.81,343,"2021-01-01 00:00:00-05",3972.89,216.82,0.0577
"2021-04-01 00:00:00-04",43803.86,138,"2021-04-01 00:00:00-04",4297.50,324.61,0.0817
"2021-07-01 00:00:00-04",43133.04,157,"2021-07-01 00:00:00-04",4307.54,10.04,0.0023
"2021-10-01 00:00:00-04",60326.45,214,"2021-10-01 00:00:00-04",4766.18,458.64,0.1065
"2022-01-01 00:00:00-05",11615.91,59,"2022-01-01 00:00:00-05",4530.41,-235.77,-0.0495
"2022-04-01 00:00:00-04",2425.60,22,"2022-04-01 00:00:00-04",3785.38,-745.03,-0.1645
"2022-07-01 00:00:00-04",2535.47,22,"2022-07-01 00:00:00-04",3585.62,-199.76,-0.0528
"2022-10-01 00:00:00-04",775.97,11,"2022-10-01 00:00:00-04",3934.38,348.76,0.0973
