ipo_quarter,offer_price,stock_1d,stock_1w,stock_1m
2015-10-01,13.375,15.25083333,15.47583333,15.86916667
2016-01-01,10.18909091,10.02908232,9.778787629,11.96818182
2016-04-01,13.87857143,15.21117291,15.44029625,15.96456934
2016-07-01,13.54285714,14.6149238,14.91387124,15.29061314
2016-10-01,11.70785714,12.76109967,12.62349442,13.00285147
2017-01-01,13.61612903,13.88064661,13.77298609,14.21491968
2017-04-01,14.11875,14.13821429,14.22251769,14.6530935
2017-07-01,15.25545455,11.61500456,11.87570616,11.83678346
2017-10-01,13.75388889,15.1218815,16.57609196,16.50238307
2018-01-01,13.43023256,14.43700365,14.93666129,15.12814321
2018-04-01,15.73770492,17.99377049,18.27180328,18.59770492
2018-07-01,14.15652174,15.77650339,15.72427351,15.60284872
2018-10-01,12.32222222,11.97222222,11.80830236,12.53019845
2019-01-01,13.67060606,13.0545555,13.21884218,12.75899035
2019-04-01,16.89935484,21.56964526,22.35692847,22.89569616
2019-07-01,15.74404762,18.08238095,18.39,17.14454318
2019-10-01,11.74931818,13.15230993,13.63189525,14.23201145
2020-01-01,14.10714286,16.12675367,16.79636449,14.98184912
2020-04-01,14.56730769,19.58903846,20.32673077,20.23826923
2020-07-01,15.00185185,20.11108259,20.3530103,21.11622335
2020-10-01,13.17182353,16.6112382,16.88090958,16.81751291
2021-01-01,11.91087464,13.61733802,13.66985081,13.17085105
2021-04-01,15.99398551,18.8694572,18.648403,17.59001585
2021-07-01,14.07261146,15.96831323,15.59841579,16.3283844
2021-10-01,12.62705607,13.73630824,13.67557998,13.12431903
2022-01-01,10.7859322,11.51052129,11.51394108,11.4962746
2022-04-01,10.31136364,11.02719305,11.04648835,9.400869568
2022-07-01,7.848181818,8.038765201,7.358253103,6.47100186
2022-10-01,8.467272727,8.468826581,8.239955537,8.776489046
2018-04-01,16.16666667,19.07916667,20.11083333,21.94916667
2018-05-01,16.57894737,17.73842105,17.84,18.83263158
2018-06-01,15.03333333,17.72133333,17.80966667,17.10833333
2018-07-01,14.53,17.63818099,17.98591984,19.03766452
2018-08-01,11.63583333,10.29614309,9.905342046,10.10795125
2018-09-01,15.7,17.80266667,17.51466667,15.648
2018-10-01,12.82619048,13.63666667,13.4604231,14.65843544
2018-11-01,10.65625,9.5225,9.33125,9.34375
2018-12-01,12.71428571,9.778571429,9.682857143,9.787142857
2019-01-01,12.8,12.86206631,13.03835838,13.4073363
2019-02-01,10.79631579,9.238421053,9.383684211,9.432105263
2019-03-01,20.22222222,21.21777778,21.41555556,19.42222222
2019-04-01,18.14285714,24.77142857,25.63428571,27.86571429
2019-05-01,16.52923077,18.60146179,19.14959866,20.22819854
2019-06-01,16.54545455,23.04,24.06181818,22.88545455
2019-07-01,15.39,17.93380952,18.59428571,17.88761905
2019-08-01,9.012,9.11,9.13,9.16216272
2019-09-01,18.3125,21.08125,21.015625,18.66375
2019-10-01,13.86111111,14.63388889,14.99222222,16.56444444
2019-11-01,11.35294118,11.93470588,12.53352941,12.45823529
2019-12-01,8.274444444,12.48907076,12.98593236,12.91761152
2020-01-01,14.5,18.773,19.33,17.741
2020-02-01,14.57142857,15.51850733,16.49272898,14.02512681
2020-03-01,11.5,11.64,11.525,11.4325
2020-04-01,12.6,15.009,15.297,16.425
2020-05-01,11.73076923,14.66461538,14.83846154,15.57076923
2020-06-01,16.51724138,23.37586207,24.52137931,23.64551724
2020-07-01,15.67567568,22.55510749,22.79741093,23.48830656
2020-08-01,12.80769231,16.3308601,15.89765156,17.09391824
2020-09-01,16.02966102,21.07718014,21.76514874,22.2874576
2020-10-01,12.59027778,13.75305468,14.19838064,14.3593153
2020-11-01,11.05882353,12.18223913,12.26012638,12.19789206
2020-12-01,14.94859375,22.17960042,22.35354571,22.0371588
2021-01-01,11.76020408,14.07963472,14.27625103,14.58077542
2021-02-01,11.81767857,13.93073682,13.96988297,12.5296786
2021-03-01,12.10037594,13.01278358,12.97037095,12.67189411
2021-04-01,19.6,23.31371429,23.31514286,21.37457143
2021-05-01,13.8490625,16.04530911,15.83975052,16.60288431
2021-06-01,15.18309859,17.95148172,17.61376899,16.16929423
2021-07-01,15.31617647,16.95667952,16.63273917,18.1849739
2021-08-01,10.83055556,11.46811749,11.48904676,12.39190115
2021-09-01,14.67924528,17.75695736,17.06262891,16.62018273
2021-10-01,13.33795455,14.22891309,14.01895689,14.5193616
2021-11-01,12.5965,14.49770215,14.60039468,12.61715854
2021-12-01,11.32021739,11.46977041,11.41031164,11.3375602
2022-01-01,11.42592593,11.17407874,11.56164983,11.66492321
2022-02-01,10.54347826,12.67785348,12.2146947,12.09205543
2022-03-01,9.485555556,9.536666667,9.58,9.467777778
2022-04-01,10.51111111,12.93536638,13.28127617,8.85892201
2022-05-01,11.11111111,10.64555556,10.41111111,10.81333333
2022-06-01,8.0625,7.592487401,7.447814561,7.442208099
2022-07-01,4.5,9.39,5.67,3.22
2022-08-01,6.591818182,6.569066571,6.158314957,4.794610321
2022-09-01,10.12777778,9.534789127,9.200011528,9.242369711
2022-10-01,9.523333333,9.34152668,9.668146415,10.05264812
2022-11-01,7.875,8.1525,7.0125,7.907277466
2022-12-01,4.5,4.497932312,4.580632421,4.596380941
